time;H_sun;temp;wind_speed
20180107:2310;0.0;4.99;1.38
20180108:0010;0.0;4.8;1.38
20180108:0110;0.0;4.5;1.38
20180108:0210;0.0;4.15;1.31
20180108:0310;0.0;3.93;1.38
20180108:0410;0.0;3.6;1.52
20180108:0510;0.0;3.29;1.52
20180108:0610;0.0;3.05;1.52
20180108:0710;3.87;3.64;1.31
20180108:0810;12.2;4.87;1.31
20180108:0910;18.87;9.56;1.1
20180108:1010;23.32;13.5;0.76
20180108:1110;25.08;15.65;0.62
20180108:1210;23.92;16.52;0.62
20180108:1310;20.0;16.98;0.62
20180108:1410;13.75;16.77;0.48
20180108:1510;5.73;15.85;0.55
20180108:1610;0.0;14.61;0.83
20180108:1710;0.0;12.2;1.31
20180108:1810;0.0;10.34;1.72
20180108:1910;0.0;8.39;1.79
20180108:2010;0.0;7.91;1.79
20180108:2110;0.0;7.8;1.93
20180108:2210;0.0;8.12;2.28
20180108:2310;0.0;8.85;2.41
20180109:0010;0.0;9.68;2.48
20180109:0110;0.0;10.32;2.62
20180109:0210;0.0;10.39;2.55
20180109:0310;0.0;10.19;2.14
20180109:0410;0.0;10.28;2.14
20180109:0510;0.0;10.25;2.14
20180109:0610;0.0;9.94;2.07
20180109:0710;3.92;9.95;2.07
20180109:0810;12.27;11.09;2.48
20180109:0910;18.96;11.93;3.38
20180109:1010;23.43;12.27;3.86
20180109:1110;25.22;12.26;3.72
20180109:1210;24.08;12.22;3.1
20180109:1310;20.16;12.15;2.9
20180109:1410;13.92;11.49;2.55
20180109:1510;5.89;10.9;2.0
20180109:1610;0.0;10.21;1.72
20180109:1710;0.0;9.46;1.52
20180109:1810;0.0;9.05;1.45
20180109:1910;0.0;8.54;0.83
20180109:2010;0.0;7.84;1.1
20180109:2110;0.0;7.32;1.52
20180109:2210;0.0;6.87;1.45
20180109:2310;0.0;6.51;1.1
20180110:0010;0.0;6.09;0.97
20180110:0110;0.0;5.44;0.9
20180110:0210;0.0;5.3;0.9
20180110:0310;0.0;5.02;0.9
20180110:0410;0.0;4.52;0.83
20180110:0510;0.0;3.77;0.97
20180110:0610;0.0;3.67;0.83
20180110:0710;3.97;2.07;0.97
20180110:0810;12.34;4.1;0.41
20180110:0910;19.05;6.54;0.55
20180110:1010;23.55;8.3;0.41
20180110:1110;25.36;9.34;0.41
20180110:1210;24.24;10.06;0.62
20180110:1310;20.33;10.47;0.83
20180110:1410;14.09;10.41;0.9
20180110:1510;6.07;9.78;0.69
20180110:1610;0.0;8.86;0.55
20180110:1710;0.0;8.36;0.55
20180110:1810;0.0;7.73;0.62
20180110:1910;0.0;6.77;0.48
20180110:2010;0.0;5.89;0.83
20180110:2110;0.0;4.86;0.97
20180110:2210;0.0;3.75;1.1
20180110:2310;0.0;3.07;1.24
20180111:0010;0.0;2.87;1.31
20180111:0110;0.0;2.77;1.24
20180111:0210;0.0;2.41;1.59
20180111:0310;0.0;2.45;1.59
20180111:0410;0.0;3.23;1.45
20180111:0510;0.0;3.8;1.31
20180111:0610;0.0;3.53;1.38
20180111:0710;4.02;3.59;1.31
20180111:0810;12.42;4.7;0.9
20180111:0910;19.15;6.77;0.69
20180111:1010;23.68;8.12;0.62
20180111:1110;25.51;9.15;0.41
20180111:1210;24.4;9.07;0.21
20180111:1310;20.51;9.31;0.34
20180111:1410;14.27;9.24;0.48
20180111:1510;6.24;8.62;0.83
20180111:1610;0.0;7.94;1.03
20180111:1710;0.0;7.43;0.83
20180111:1810;0.0;6.73;0.9
20180111:1910;0.0;5.68;1.17
20180111:2010;0.0;5.46;1.31
20180111:2110;0.0;5.28;1.31
20180111:2210;0.0;5.24;1.38
20180111:2310;0.0;4.95;1.38
20180112:0010;0.0;4.91;1.52
20180112:0110;0.0;5.05;1.52
20180112:0210;0.0;5.08;1.66
20180112:0310;0.0;4.9;1.79
20180112:0410;0.0;4.82;1.79
20180112:0510;0.0;4.86;1.79
20180112:0610;0.0;4.85;1.86
20180112:0710;4.09;4.75;2.0
20180112:0810;12.5;5.42;1.86
20180112:0910;19.26;6.69;1.79
20180112:1010;23.82;7.63;1.93
20180112:1110;25.67;8.42;2.0
20180112:1210;24.58;9.15;2.0
20180112:1310;20.69;9.91;2.21
20180112:1410;14.45;10.01;2.41
20180112:1510;6.42;9.23;2.41
20180112:1610;0.0;7.84;2.41
20180112:1710;0.0;6.65;2.41
20180112:1810;0.0;5.72;2.34
20180112:1910;0.0;5.46;2.21
20180112:2010;0.0;4.82;2.14
20180112:2110;0.0;4.27;2.07
20180112:2210;0.0;3.85;2.07
20180112:2310;0.0;3.71;2.07
20180113:0010;0.0;3.43;2.14
20180113:0110;0.0;3.36;2.21
20180113:0210;0.0;3.18;2.21
20180113:0310;0.0;3.07;2.21
20180113:0410;0.0;2.91;2.28
20180113:0510;0.0;2.82;2.28
20180113:0610;0.0;2.73;2.21
20180113:0710;4.16;2.51;1.93
20180113:0810;12.59;3.71;1.66
20180113:0910;19.38;6.14;2.21
20180113:1010;23.96;7.84;2.55
20180113:1110;25.83;9.02;2.83
20180113:1210;24.76;9.83;2.69
20180113:1310;20.88;10.1;2.41
20180113:1410;14.64;9.81;2.28
20180113:1510;6.6;8.66;2.21
20180113:1610;0.0;7.28;2.07
20180113:1710;0.0;6.04;1.93
20180113:1810;0.0;4.85;1.79
20180113:1910;0.0;3.82;1.66
20180113:2010;0.0;2.8;1.59
20180113:2110;0.0;2.67;1.45
20180113:2210;0.0;2.12;1.45
20180113:2310;0.0;1.77;1.38
20180114:0010;0.0;1.87;1.31
20180114:0110;0.0;1.97;1.24
20180114:0210;0.0;1.77;1.31
20180114:0310;0.0;1.65;1.31
20180114:0410;0.0;1.92;1.24
20180114:0510;0.0;1.9;1.17
20180114:0610;0.0;1.71;1.1
20180114:0710;4.23;2.61;0.9
20180114:0810;12.69;3.78;0.62
20180114:0910;19.5;5.77;0.48
20180114:1010;24.11;6.79;0.21
20180114:1110;26.0;7.79;0.28
20180114:1210;24.94;8.19;0.69
20180114:1310;21.07;8.34;0.69
20180114:1410;14.83;8.21;0.55
20180114:1510;6.79;7.84;0.34
20180114:1610;0.0;7.31;0.34
20180114:1710;0.0;6.49;0.69
20180114:1810;0.0;5.77;0.83
20180114:1910;0.0;5.57;0.9
20180114:2010;0.0;4.77;1.03
20180114:2110;0.0;4.1;1.1
20180114:2210;0.0;3.66;1.17
20180114:2310;0.0;3.79;1.1
20180115:0010;0.0;3.7;1.03
20180115:0110;0.0;2.82;1.1
20180115:0210;0.0;1.51;1.17
20180115:0310;0.0;0.99;1.1
20180115:0410;0.0;0.37;1.1
20180115:0510;0.0;-0.25;1.1
20180115:0610;0.0;-0.65;0.97
20180115:0710;4.32;0.05;0.76
20180115:0810;12.8;2.07;0.48
20180115:0910;19.63;4.79;0.34
20180115:1010;24.26;7.07;0.07
20180115:1110;26.18;8.52;0.21
20180115:1210;25.13;9.4;0.55
20180115:1310;21.27;9.86;0.76
20180115:1410;15.03;9.84;0.83
20180115:1510;6.99;9.33;0.28
20180115:1610;0.0;8.35;0.76
20180115:1710;0.0;6.74;1.1
20180115:1810;0.0;5.5;1.31
20180115:1910;0.0;4.52;1.66
20180115:2010;0.0;4.01;1.72
20180115:2110;0.0;3.77;1.72
20180115:2210;0.0;4.23;1.79
