0,Builing energy (kWh),Date and time,External temperature (Celsius degree),Flat energy (kWh),Indoor Temp room 1 (ï¿½C),Indoor Temp room 2 (ï¿½C),Indoor Temp room 3 (ï¿½C),Surface
Date and time,,,,,,,,
Indoor Temp room 1 (ï¿½C),,,,,,,,
Indoor Temp room 2 (ï¿½C),,,,,,,,
Indoor Temp room 3 (ï¿½C),,,,,,,,
External temperature (Celsius degree),,,,,,,,
Flat energy (kWh),,,,,,,,
Builing energy (kWh),,,,,,,,
Surface,,,,,,,,
,"0,67",20/02/01 00:00,,"0,09","21,75","21,37","21,33","417,00"
,"0,66",10/01/21 01:00,,"0,09","21,70","21,34","21,33","417,00"
,"0,65",10/01/21 02:00,,"0,09","21,69","21,33","21,28","417,00"
,"0,65",10/01/21 03:00,,"0,09","21,60","21,31","21,23","417,00"
,"0,65",10/01/21 04:00,,"0,09","21,57","21,22","21,22","417,00"
,"0,65",10/01/21 05:00,,"0,09","21,53","21,23","21,14","417,00"
,"2,81",10/01/21 06:00,,"0,09","21,58","21,24","21,24","417,00"
,"2,85",10/01/21 07:00,,"0,09","21,68","21,34","21,30","417,00"
,"2,89",10/01/21 08:00,,"0,09","21,79","21,34","21,34","417,00"
,"2,88",10/01/21 09:00,,"0,09","22,09","21,65","21,54","417,00"
,"1,43",10/01/21 10:00,,"0,09","22,19","21,85","21,66","417,00"
,"0,69",10/01/21 11:00,,"0,09","22,19","21,77","21,60","417,00"
,"2,60",10/01/21 12:00,,"0,09","22,29","21,73","21,72","417,00"
,"2,86",10/01/21 13:00,,"0,09","22,37","21,85","21,84","417,00"
,"2,87",10/01/21 14:00,,"0,09","22,67","21,89","22,09","417,00"
,"2,86",10/01/21 15:00,,"0,09","22,97","21,96","22,45","417,00"
,"2,85",10/01/21 16:00,,"0,09","22,84","21,97","22,34","417,00"
,"0,66",10/01/21 17:00,,"0,09","22,39","21,81","21,91","417,00"
,"0,66",10/01/21 18:00,,"0,09","22,17","21,70","21,68","417,00"
,"0,65",10/01/21 19:00,,"0,09","21,99","21,52","21,56","417,00"
,"0,65",10/01/21 20:00,,"0,09","21,81","21,45","21,47","417,00"
,"0,65",10/01/21 21:00,,"0,09","21,72","21,41","21,35","417,00"
,"0,66",10/01/21 22:00,,"0,09","21,66","21,32","21,31","417,00"
,"0,66",10/01/21 23:00,,"0,09","21,60","21,27","21,30","417,00"
,"2,68",11/01/21 00:00,"10,84","2,51","20,16","17,51","16,13","417,00"
,"2,76",11/01/21 01:00,"10,78","2,74","20,12","17,47","16,14","417,00"
,"2,98",11/01/21 02:00,"10,68","2,95","20,12","17,59","16,11","417,00"
,"3,09",11/01/21 03:00,"10,64","3,38","20,09","17,55","16,11","417,00"
,"2,75",11/01/21 04:00,"10,61","2,73","20,18","17,58","16,21","417,00"
,"2,88",11/01/21 05:00,"10,66","2,52","20,14","17,56","16,14","417,00"
,"4,07",11/01/21 06:00,"10,54","3,91","20,31","17,91","16,38","417,00"
,"6,42",11/01/21 07:00,"10,40","5,93","22,45","19,55","18,46","417,00"
,"5,08",11/01/21 08:00,"10,52","4,48","22,86","19,88","18,92","417,00"
,"4,92",11/01/21 09:00,"10,64","4,33","22,92","20,11","18,88","417,00"
,"5,98",11/01/21 10:00,"10,79","5,46","22,66","20,16","18,61","417,00"
,"5,09",11/01/21 11:00,"10,74","4,51","22,75","20,43","18,77","417,00"
,"4,46",11/01/21 12:00,"10,85","3,97","22,73","20,36","18,63","417,00"
,"4,51",11/01/21 13:00,"10,87","4,07","22,71","20,38","18,65","417,00"
,"4,98",11/01/21 14:00,"10,77","4,46","22,57","20,48","18,66","417,00"
,"5,26",11/01/21 15:00,"10,68","4,89","22,72","20,59","18,71","417,00"
,"4,40",11/01/21 16:00,"10,48","3,87","22,71","20,61","18,74","417,00"
,"1,68",11/01/21 17:00,"10,36","1,25","21,13","18,55","17,46","417,00"
,"1,12",11/01/21 18:00,"10,33","0,67","19,98","16,67","16,22","417,00"
,"1,35",11/01/21 19:00,"10,15","0,77","20,06","16,95","16,12","417,00"
,"1,87",11/01/21 20:00,"9,96","1,31","20,01","17,03","16,03","417,00"
,"2,58",11/01/21 21:00,"9,52","2,30","19,94","17,14","16,14","417,00"
,"2,44",11/01/21 22:00,"9,16","2,24","19,91","17,28","16,07","417,00"
,"2,52",11/01/21 23:00,"8,85","2,74","19,98","17,33","16,11","417,00"
,"5,86",12/01/21 00:00,"2,87","5,64","19,15","16,73","15,97","417,00"
,"6,18",12/01/21 01:00,"3,11","5,87","19,03","16,63","15,92","417,00"
,"5,61",12/01/21 02:00,"2,97","5,52","19,08","16,74","16,00","417,00"
,"6,53",12/01/21 03:00,"2,03","6,16","18,92","16,69","15,90","417,00"
,"6,47",12/01/21 04:00,"2,12","6,50","18,92","16,76","15,80","417,00"
,"7,01",12/01/21 05:00,"2,18","6,69","18,90","16,65","15,77","417,00"
,"8,08",12/01/21 06:00,"2,45","7,78","19,15","17,07","16,11","417,00"
,"12,46",12/01/21 07:00,"2,97","10,07","21,76","19,53","18,33","417,00"
,"10,78",12/01/21 08:00,"5,31","8,15","22,15","21,23","18,69","417,00"
,"8,51",12/01/21 09:00,"6,93","5,84","22,30","20,00","18,77","417,00"
,"7,73",12/01/21 10:00,"7,74","5,03","22,58","20,09","19,00","417,00"
,"5,77",12/01/21 11:00,"7,28","4,51","22,74","20,19","19,01","417,00"
,"5,26",12/01/21 12:00,"7,82","4,39","22,76","20,16","19,03","417,00"
,"7,17",12/01/21 13:00,"7,97","4,67","22,40","20,03","18,56","417,00"
,"7,75",12/01/21 14:00,"7,64","5,21","22,50","20,56","18,69","417,00"
,"7,58",12/01/21 15:00,"7,16","4,90","22,86","21,18","18,94","417,00"
,"7,57",12/01/21 16:00,"6,39","4,89","22,87","21,28","18,97","417,00"
,"3,61",12/01/21 17:00,"6,24","1,39","20,81","18,68","17,40","417,00"
,"2,39",12/01/21 18:00,"6,13","1,92","19,81","17,39","16,12","417,00"
,"3,10",12/01/21 19:00,"5,94","2,99","19,86","17,67","16,16","417,00"
,"3,52",12/01/21 20:00,"5,90","3,13","19,81","17,70","16,13","417,00"
,"3,78",12/01/21 21:00,"5,88","3,15","19,85","17,72","16,10","417,00"
,"3,27",12/01/21 22:00,"5,76","2,81","19,69","17,40","16,13","417,00"
,"3,71",12/01/21 23:00,"5,68","3,70","19,70","17,51","16,07","417,00"
,"0,65",10/02/21 00:00,,"0,09","21,58","21,24","21,24","417,00"
,"0,66",10/02/21 01:00,,"0,09","21,52","21,23","21,22","417,00"
,"0,66",10/02/21 02:00,,"0,09","21,52","21,19","21,11","417,00"
,"0,67",10/02/21 03:00,,"0,09","21,41","21,14","21,16","417,00"
,"0,66",10/02/21 04:00,,"0,09","21,38","21,10","21,11","417,00"
,"0,74",10/02/21 05:00,,"0,09","21,34","21,05","21,03","417,00"
,"0,65",10/02/21 06:00,,"0,09","21,30","21,04","21,05","417,00"
,"0,64",10/02/21 07:00,,"0,09","21,33","21,04","20,98","417,00"
,"0,64",10/02/21 08:00,,"0,09","21,40","21,26","21,05","417,00"
,"0,64",10/02/21 09:00,,"0,09","21,52","21,46","21,15","417,00"
,"0,66",10/02/21 10:00,,"0,09","21,63","21,43","21,21","417,00"
,"0,66",10/02/21 11:00,,"0,09","21,78","21,49","21,23","417,00"
,"0,66",10/02/21 12:00,,"0,09","21,87","21,44","21,35","417,00"
,"0,66",10/02/21 13:00,,"0,09","22,11","21,38","21,44","417,00"
,"0,65",10/02/21 14:00,,"0,09","22,38","21,42","21,69","417,00"
,"0,65",10/02/21 15:00,,"0,09","22,47","21,41","21,82","417,00"
,"0,65",10/02/21 16:00,,"0,09","22,28","21,38","21,65","417,00"
,"0,65",10/02/21 17:00,,"0,09","21,85","21,32","21,37","417,00"
,"0,66",10/02/21 18:00,,"0,09","21,73","21,30","21,33","417,00"
,"0,66",10/02/21 19:00,,"0,09","21,65","21,26","21,26","417,00"
,"0,67",10/02/21 20:00,,"0,09","21,60","21,22","21,22","417,00"
,"0,68",10/02/21 21:00,,"0,09","21,58","21,18","21,20","417,00"
,"0,66",10/02/21 22:00,,"0,09","21,46","21,13","21,14","417,00"
,"0,66",10/02/21 23:00,,"0,09","21,42","21,08","21,05","417,00"
,"2,88",11/02/21 00:00,"8,65","3,02","20,02","17,50","16,11","417,00"
,"2,75",11/02/21 01:00,"7,94","2,61","20,00","17,54","16,13","417,00"
,"3,43",11/02/21 02:00,"8,29","3,31","19,92","17,45","16,12","417,00"
,"2,84",11/02/21 03:00,"7,73","2,65","19,99","17,56","16,13","417,00"
,"3,16",11/02/21 04:00,"7,34","2,88","19,97","17,64","16,13","417,00"
,"3,11",11/02/21 05:00,"7,42","2,67","19,97","17,63","16,11","417,00"
,"4,56",11/02/21 06:00,"7,07","4,18","20,09","17,77","16,28","417,00"
,"7,63",11/02/21 07:00,"7,46","5,16","22,47","19,95","18,69","417,00"
,"7,27",11/02/21 08:00,"8,21","4,50","22,79","20,32","19,02","417,00"
,"6,84",11/02/21 09:00,"10,72","4,10","22,77","20,40","18,63","417,00"
,"6,29",11/02/21 10:00,"12,66","3,65","22,83","20,38","18,80","417,00"
,"5,74",11/02/21 11:00,"13,87","4,42","22,97","20,71","18,82","417,00"
,"3,71",11/02/21 12:00,"14,67","3,14","22,81","20,35","18,77","417,00"
,"5,76",11/02/21 13:00,"14,80","3,08","23,06","20,32","18,82","417,00"
,"5,57",11/02/21 14:00,"14,37","2,69","23,17","20,34","18,93","417,00"
,"5,55",11/02/21 15:00,"13,55","2,74","23,06","20,33","18,90","417,00"
,"6,13",11/02/21 16:00,"11,87","3,33","23,00","20,65","18,90","417,00"
,"3,74",11/02/21 17:00,"10,66","1,42","21,54","19,17","17,92","417,00"
,"0,70",11/02/21 18:00,"9,71","0,11","20,19","16,94","16,53","417,00"
,"0,72",11/02/21 19:00,"9,51","0,11","19,86","16,40","16,09","417,00"
,"1,32",11/02/21 20:00,"9,15","0,72","19,80","16,55","15,97","417,00"
,"1,81",11/02/21 21:00,"9,40","1,34","19,96","16,96","16,03","417,00"
,"2,30",11/02/21 22:00,"9,36","1,88","19,92","16,93","16,07","417,00"
,"2,19",11/02/21 23:00,"9,09","1,66","19,92","17,12","16,11","417,00"
,"3,71",12/02/21 00:00,"5,32","3,37","19,86","17,91","16,08","417,00"
,"3,52",12/02/21 01:00,"4,93","3,18","19,70","17,58","16,12","417,00"
,"3,64",12/02/21 02:00,"4,83","3,35","19,42","17,17","16,10","417,00"
,"3,69",12/02/21 03:00,"4,95","3,30","19,45","17,08","16,07","417,00"
,"4,19",12/02/21 04:00,"4,68","3,75","19,38","17,06","15,93","417,00"
,"4,82",12/02/21 05:00,"4,46","4,21","19,44","17,04","15,92","417,00"
,"6,64",12/02/21 06:00,"4,57","5,82","19,45","16,96","15,87","417,00"
,"9,81",12/02/21 07:00,"4,71","7,16","22,15","20,62","18,54","417,00"
,"8,00",12/02/21 08:00,"5,04","5,34","22,32","20,07","18,78","417,00"
,"7,77",12/02/21 09:00,"5,73","5,09","22,53","20,21","18,95","417,00"
,"7,77",12/02/21 10:00,"6,57","5,11","22,67","20,39","18,96","417,00"
,"6,47",12/02/21 11:00,"7,41","5,21","22,78","20,76","18,91","417,00"
,"6,01",12/02/21 12:00,"7,99","5,52","22,78","20,84","18,92","417,00"
,"9,68",12/02/21 13:00,"8,20","7,25","22,28","20,59","18,80","417,00"
,"7,96",12/02/21 14:00,"7,80","5,26","22,79","21,57","18,82","417,00"
,"6,93",12/02/21 15:00,"7,25","4,43","22,28","20,57","18,48","417,00"
,"7,40",12/02/21 16:00,"5,79","4,72","22,79","21,37","18,92","417,00"
,"3,61",12/02/21 17:00,"5,26","1,21","20,86","18,78","17,36","417,00"
,"2,19",12/02/21 18:00,"5,29","1,80","19,79","17,23","16,14","417,00"
,"3,72",12/02/21 19:00,"5,10","2,80","19,83","17,53","16,16","417,00"
,"3,42",12/02/21 20:00,"4,79","2,63","19,82","17,61","16,13","417,00"
,"3,54",12/02/21 21:00,"4,46","3,15","19,72","17,50","16,15","417,00"
,"3,55",12/02/21 22:00,"3,93","3,07","19,56","17,23","16,16","417,00"
,"3,98",12/02/21 23:00,"2,91","3,97","19,51","17,09","16,11","417,00"
,"0,66",10/03/21 00:00,,"0,09","21,32","21,05","21,03","417,00"
,"0,66",10/03/21 01:00,,"0,09","21,33","20,98","20,96","417,00"
,"0,66",10/03/21 02:00,,"0,09","21,25","20,95","20,96","417,00"
,"0,66",10/03/21 03:00,,"0,09","21,22","20,90","20,86","417,00"
,"0,65",10/03/21 04:00,,"0,09","21,22","20,86","20,85","417,00"
,"0,65",10/03/21 05:00,,"0,09","21,11","20,86","20,85","417,00"
,"0,65",10/03/21 06:00,,"0,09","21,09","20,80","20,84","417,00"
,"0,66",10/03/21 07:00,,"0,09","21,09","20,77","20,77","417,00"
,"0,66",10/03/21 08:00,,"0,09","21,14","20,75","20,76","417,00"
,"0,66",10/03/21 09:00,,"0,09","21,14","20,75","20,72","417,00"
,"0,66",10/03/21 10:00,,"0,09","21,14","20,76","20,74","417,00"
,"0,66",10/03/21 11:00,,"0,09","21,14","20,69","20,75","417,00"
,"0,65",10/03/21 12:00,,"0,09","21,15","20,69","20,73","417,00"
,"0,65",10/03/21 13:00,,"0,09","21,12","20,68","20,70","417,00"
,"0,65",10/03/21 14:00,,"0,09","21,14","20,68","20,75","417,00"
,"0,65",10/03/21 15:00,,"0,09","21,14","20,66","20,75","417,00"
,"0,65",10/03/21 16:00,,"0,09","21,14","20,61","20,66","417,00"
,"0,65",10/03/21 17:00,,"0,09","21,03","20,63","20,65","417,00"
,"0,65",10/03/21 18:00,,"0,09","21,04","20,58","20,66","417,00"
,"0,66",10/03/21 19:00,,"0,08","21,04","20,57","20,66","417,00"
,"0,66",10/03/21 20:00,,"0,09","21,04","20,54","20,66","417,00"
,"0,66",10/03/21 21:00,,"0,09","21,00","20,51","20,59","417,00"
,"0,65",10/03/21 22:00,,"0,09","20,94","20,49","20,56","417,00"
,"0,65",10/03/21 23:00,,"0,09","20,95","20,48","20,54","417,00"
,"2,77",11/03/21 00:00,"9,11","2,02","19,83","17,16","16,06","417,00"
,"3,17",11/03/21 01:00,"8,94","2,57","19,98","17,34","16,10","417,00"
,"3,75",11/03/21 02:00,"9,47","3,08","20,02","17,56","16,12","417,00"
,"3,85",11/03/21 03:00,"9,49","3,29","20,13","17,56","16,13","417,00"
,"3,20",11/03/21 04:00,"9,74","2,81","19,94","17,34","16,06","417,00"
,"3,36",11/03/21 05:00,"9,60","2,85","20,02","17,49","16,11","417,00"
,"4,60",11/03/21 06:00,"9,29","4,04","20,27","17,80","16,32","417,00"
,"7,88",11/03/21 07:00,"9,25","5,33","22,46","19,64","18,69","417,00"
,"8,94",11/03/21 08:00,"9,52","6,20","22,09","19,81","18,30","417,00"
,"9,12",11/03/21 09:00,"9,52","6,34","22,29","20,47","18,31","417,00"
,"8,60",11/03/21 10:00,"9,51","5,84","22,28","20,08","18,34","417,00"
,"6,60",11/03/21 11:00,"9,80","5,18","22,76","20,49","18,80","417,00"
,"7,57",11/03/21 12:00,"9,83","5,68","22,64","20,45","18,75","417,00"
,"8,19",11/03/21 13:00,"9,87","5,44","22,29","20,28","18,49","417,00"
,"9,02",11/03/21 14:00,"10,08","6,28","22,33","20,46","18,34","417,00"
,"8,95",11/03/21 15:00,"10,27","6,18","22,28","20,65","18,42","417,00"
,"7,56",11/03/21 16:00,"10,42","4,70","22,36","20,49","18,49","417,00"
,"4,62",11/03/21 17:00,"10,37","1,88","21,12","19,07","17,65","417,00"
,"0,69",11/03/21 18:00,"10,27","0,11","19,98","16,72","16,31","417,00"
,"1,16",11/03/21 19:00,"10,17","0,64","19,95","16,57","16,01","417,00"
,"1,80",11/03/21 20:00,"10,08","1,22","19,87","16,82","16,00","417,00"
,"2,06",11/03/21 21:00,"9,92","1,70","19,91","16,93","16,06","417,00"
,"2,13",11/03/21 22:00,"9,98","1,64","19,96","17,13","16,08","417,00"
,"4,20",11/03/21 23:00,"9,77","3,43","20,02","17,32","16,12","417,00"
,"5,29",12/03/21 00:00,"2,78","4,90","19,32","16,95","16,00","417,00"
,"5,27",12/03/21 01:00,"2,64","5,03","19,33","16,87","15,99","417,00"
,"6,52",12/03/21 02:00,"2,41","6,15","19,04","16,61","15,96","417,00"
,"5,86",12/03/21 03:00,"2,23","5,74","19,14","16,74","16,00","417,00"
,"4,95",12/03/21 04:00,"2,09","4,79","19,05","16,59","16,05","417,00"
,"6,06",12/03/21 05:00,"1,87","5,69","18,94","16,63","15,89","417,00"
,"8,21",12/03/21 06:00,"1,73","7,69","19,20","17,13","16,13","417,00"
,"11,65",12/03/21 07:00,"1,87","9,17","21,54","19,26","18,47","417,00"
,"13,14",12/03/21 08:00,"2,11","10,52","21,52","20,86","18,46","417,00"
,"11,52",12/03/21 09:00,"4,47","8,88","22,31","21,70","18,75","417,00"
,"9,71",12/03/21 10:00,"7,22","7,04","22,29","20,85","18,74","417,00"
,"7,53",12/03/21 11:00,"7,95","5,84","22,84","21,65","18,90","417,00"
,"7,21",12/03/21 12:00,"8,85","5,50","22,85","21,29","18,90","417,00"
,"7,98",12/03/21 13:00,"9,06","5,30","22,90","21,47","18,95","417,00"
,"7,03",12/03/21 14:00,"8,51","4,53","22,61","21,00","18,62","417,00"
,"7,33",12/03/21 15:00,"6,64","4,70","22,76","21,21","18,82","417,00"
,"7,48",12/03/21 16:00,"5,52","4,81","22,64","21,41","18,80","417,00"
,"3,41",12/03/21 17:00,"4,45","1,23","20,76","18,80","17,24","417,00"
,"3,16",12/03/21 18:00,"3,31","2,51","19,74","17,63","16,14","417,00"
,"4,89",12/03/21 19:00,"2,13","4,55","19,54","17,59","16,20","417,00"
,"4,34",12/03/21 20:00,"1,79","3,88","19,34","16,92","16,03","417,00"
,"5,40",12/03/21 21:00,"1,58","5,30","19,37","17,05","15,99","417,00"
,"5,97",12/03/21 22:00,"1,59","5,99","19,19","16,85","15,89","417,00"
,"6,22",12/03/21 23:00,"1,65","6,20","19,05","16,56","15,85","417,00"
,"0,65",10/04/21 00:00,,"0,09","20,95","20,46","20,54","417,00"
,"0,65",10/04/21 01:00,,"0,09","20,95","20,41","20,48","417,00"
,"0,65",10/04/21 02:00,,"0,09","20,92","20,39","20,47","417,00"
,"0,65",10/04/21 03:00,,"0,09","20,85","20,38","20,46","417,00"
,"0,65",10/04/21 04:00,,"0,09","20,85","20,37","20,47","417,00"
,"0,65",10/04/21 05:00,,"0,09","20,85","20,37","20,42","417,00"
,"2,67",10/04/21 06:00,,"0,09","20,90","20,39","20,50","417,00"
,"2,89",10/04/21 07:00,,"0,09","21,04","20,53","20,61","417,00"
,"2,89",10/04/21 08:00,,"0,09","21,19","20,66","20,70","417,00"
,"2,89",10/04/21 09:00,,"0,09","21,33","20,78","20,87","417,00"
,"2,20",10/04/21 10:00,,"0,09","21,45","20,84","21,00","417,00"
,"1,35",10/04/21 11:00,,"0,09","21,35","20,75","20,90","417,00"
,"2,88",10/04/21 12:00,,"0,09","21,41","20,79","20,94","417,00"
,"2,87",10/04/21 13:00,,"0,09","21,42","20,89","21,04","417,00"
,"2,87",10/04/21 14:00,,"0,09","21,42","20,94","21,05","417,00"
,"2,87",10/04/21 15:00,,"0,09","21,53","20,96","21,12","417,00"
,"2,87",10/04/21 16:00,,"0,09","21,50","20,96","21,09","417,00"
,"2,53",10/04/21 17:00,,"0,09","21,50","20,98","21,10","417,00"
,"0,66",10/04/21 18:00,,"0,09","21,34","20,85","20,97","417,00"
,"0,66",10/04/21 19:00,,"0,09","21,30","20,71","20,89","417,00"
,"0,65",10/04/21 20:00,,"0,09","21,23","20,64","20,85","417,00"
,"0,65",10/04/21 21:00,,"0,09","21,19","20,62","20,79","417,00"
,"0,65",10/04/21 22:00,,"0,09","21,12","20,57","20,75","417,00"
,"0,66",10/04/21 23:00,,"0,09","21,05","20,56","20,67","417,00"
,"3,28",11/04/21 00:00,"9,36","2,60","19,84","17,23","16,02","417,00"
,"2,79",11/04/21 01:00,"9,18","2,27","19,94","17,28","16,05","417,00"
,"3,45",11/04/21 02:00,"8,98","2,99","20,01","17,31","16,13","417,00"
,"2,93",11/04/21 03:00,"8,73","2,50","19,94","17,37","16,09","417,00"
,"4,33",11/04/21 04:00,"8,45","3,78","19,99","17,53","16,09","417,00"
,"3,51",11/04/21 05:00,"8,24","2,91","19,85","17,39","16,10","417,00"
,"4,96",11/04/21 06:00,"7,93","3,98","20,27","17,66","16,41","417,00"
,"8,29",11/04/21 07:00,"7,65","5,50","22,72","20,04","18,88","417,00"
,"8,30",11/04/21 08:00,"8,07","5,50","22,88","20,38","18,93","417,00"
,"8,49",11/04/21 09:00,"9,03","5,78","22,59","20,69","18,66","417,00"
,"8,34",11/04/21 10:00,"9,59","5,50","22,30","20,10","18,36","417,00"
,"6,73",11/04/21 11:00,"10,24","5,44","22,71","20,22","18,65","417,00"
,"5,77",11/04/21 12:00,"10,95","5,09","22,94","20,47","18,84","417,00"
,"6,24",11/04/21 13:00,"11,36","3,50","22,85","20,77","18,76","417,00"
,"6,41",11/04/21 14:00,"11,53","3,65","22,95","20,84","18,86","417,00"
,"7,30",11/04/21 15:00,"11,19","4,62","22,98","21,20","18,84","417,00"
,"7,06",11/04/21 16:00,"10,22","4,37","22,88","21,12","18,85","417,00"
,"3,45",11/04/21 17:00,"9,38","1,21","21,31","19,14","17,78","417,00"
,"0,69",11/04/21 18:00,"8,37","0,11","20,08","16,78","16,39","417,00"
,"1,19",11/04/21 19:00,"7,80","0,64","19,80","16,51","15,98","417,00"
,"1,88",11/04/21 20:00,"7,62","1,30","19,94","16,93","16,06","417,00"
,"1,86",11/04/21 21:00,"6,84","1,53","19,82","17,07","16,04","417,00"
,"3,07",11/04/21 22:00,"5,97","2,75","19,86","17,20","16,04","417,00"
,"2,83",11/04/21 23:00,"5,84","2,33","19,87","17,21","16,17","417,00"
,"5,53",12/04/21 00:00,"1,92","5,42","19,11","16,70","16,02","417,00"
,"5,52",12/04/21 01:00,"2,14","5,55","19,06","16,67","15,96","417,00"
,"5,83",12/04/21 02:00,"1,42","5,50","19,00","16,73","15,92","417,00"
,"6,27",12/04/21 03:00,"1,66","6,08","18,97","16,81","15,89","417,00"
,"6,44",12/04/21 04:00,"1,43","6,21","18,89","16,76","15,83","417,00"
,"5,28",12/04/21 05:00,"1,11","5,15","18,88","16,82","15,93","417,00"
,"5,89",12/04/21 06:00,"1,20","5,66","18,82","16,70","15,75","417,00"
,"7,45",12/04/21 07:00,"1,24","7,26","18,77","16,70","15,59","417,00"
,"6,88",12/04/21 08:00,"2,34","6,54","18,93","16,73","15,69","417,00"
,"5,66",12/04/21 09:00,"4,07","5,21","18,89","16,74","15,97","417,00"
,"4,31",12/04/21 10:00,"4,95","3,78","19,34","17,12","16,03","417,00"
,"4,83",12/04/21 11:00,"5,70","4,59","19,41","17,15","16,02","417,00"
,"4,32",12/04/21 12:00,"6,22","4,14","19,67","17,41","15,96","417,00"
,"3,98",12/04/21 13:00,"6,28","3,82","19,87","17,77","16,05","417,00"
,"3,38",12/04/21 14:00,"6,05","3,01","19,84","17,65","16,03","417,00"
,"3,88",12/04/21 15:00,"5,39","3,58","19,67","17,68","16,04","417,00"
,"4,37",12/04/21 16:00,"4,77","4,12","19,40","17,23","15,99","417,00"
,"4,47",12/04/21 17:00,"4,54","4,48","19,40","17,14","16,06","417,00"
,"4,68",12/04/21 18:00,"4,58","4,57","19,28","17,06","16,08","417,00"
,"4,86",12/04/21 19:00,"4,60","4,63","19,31","17,14","16,00","417,00"
,"4,20",12/04/21 20:00,"4,50","4,19","19,27","17,13","16,00","417,00"
,"4,77",12/04/21 21:00,"4,46","4,66","19,18","16,97","16,03","417,00"
,"5,28",12/04/21 22:00,"4,31","4,95","19,14","16,90","15,80","417,00"
,"5,58",12/04/21 23:00,"4,03","5,48","19,14","16,99","15,96","417,00"
,"0,65",10/05/21 00:00,,"0,09","21,03","20,49","20,66","417,00"
,"0,65",10/05/21 01:00,,"0,09","21,04","20,47","20,64","417,00"
,"0,65",10/05/21 02:00,,"0,09","21,02","20,47","20,58","417,00"
,"0,65",10/05/21 03:00,,"0,09","20,94","20,40","20,56","417,00"
,"0,65",10/05/21 04:00,,"0,09","20,95","20,38","20,53","417,00"
,"0,65",10/05/21 05:00,,"0,09","20,95","20,35","20,46","417,00"
,"2,42",10/05/21 06:00,,"0,09","20,96","20,43","20,50","417,00"
,"2,90",10/05/21 07:00,,"0,09","21,04","20,57","20,64","417,00"
,"2,90",10/05/21 08:00,,"0,09","21,18","20,65","20,78","417,00"
,"2,89",10/05/21 09:00,,"0,09","21,33","20,82","20,88","417,00"
,"1,45",10/05/21 10:00,,"0,09","21,32","20,82","20,92","417,00"
,"1,19",10/05/21 11:00,,"0,09","21,33","20,69","20,87","417,00"
,"2,86",10/05/21 12:00,,"0,09","21,38","20,76","20,95","417,00"
,"2,86",10/05/21 13:00,,"0,09","21,32","20,82","20,91","417,00"
,"2,86",10/05/21 14:00,,"0,09","21,32","20,80","20,88","417,00"
,"2,86",10/05/21 15:00,,"0,09","21,28","20,84","20,85","417,00"
,"2,34",10/05/21 16:00,,"0,09","21,24","20,81","20,88","417,00"
,"0,66",10/05/21 17:00,,"0,09","21,04","20,64","20,68","417,00"
,"0,66",10/05/21 18:00,,"0,09","20,98","20,55","20,59","417,00"
,"0,66",10/05/21 19:00,,"0,09","20,93","20,46","20,50","417,00"
,"0,65",10/05/21 20:00,,"0,09","20,93","20,42","20,46","417,00"
,"0,65",10/05/21 21:00,,"0,09","20,84","20,39","20,39","417,00"
,"0,65",10/05/21 22:00,,"0,09","20,84","20,35","20,37","417,00"
,"0,65",10/05/21 23:00,,"0,09","20,74","20,31","20,38","417,00"
,"3,09",11/05/21 00:00,"5,58","2,58","19,74","16,92","16,11","417,00"
,"3,59",11/05/21 01:00,"4,94","2,86","19,83","17,20","16,19","417,00"
,"3,84",11/05/21 02:00,"4,62","3,40","19,90","17,46","16,13","417,00"
,"3,42",11/05/21 03:00,"4,43","2,82","19,72","17,03","16,18","417,00"
,"3,99",11/05/21 04:00,"4,23","3,43","19,77","17,22","16,15","417,00"
,"4,38",11/05/21 05:00,"4,01","3,68","19,82","17,39","16,12","417,00"
,"5,24",11/05/21 06:00,"3,89","4,33","19,94","17,39","16,42","417,00"
,"8,16",11/05/21 07:00,"5,31","5,37","22,33","19,56","18,53","417,00"
,"7,75",11/05/21 08:00,"7,15","4,95","22,63","19,83","18,92","417,00"
,"6,93",11/05/21 09:00,"9,46","4,16","22,83","20,03","18,83","417,00"
,"6,50",11/05/21 10:00,"11,37","3,70","22,90","20,49","18,80","417,00"
,"4,87",11/05/21 11:00,"12,06","3,46","22,76","20,39","18,77","417,00"
,"4,38",11/05/21 12:00,"12,70","3,48","22,77","20,40","18,71","417,00"
,"6,09",11/05/21 13:00,"13,18","3,05","22,94","20,47","18,77","417,00"
,"6,04",11/05/21 14:00,"13,12","3,21","23,09","20,51","18,87","417,00"
,"6,04",11/05/21 15:00,"12,11","3,06","23,09","20,35","18,88","417,00"
,"6,59",11/05/21 16:00,"9,51","3,81","22,87","20,70","18,71","417,00"
,"3,41",11/05/21 17:00,"8,56","1,16","21,18","18,97","17,61","417,00"
,"0,64",11/05/21 18:00,"7,69","0,11","19,89","16,65","16,25","417,00"
,"1,88",11/05/21 19:00,"6,97","1,40","19,84","16,78","15,96","417,00"
,"1,80",11/05/21 20:00,"6,25","1,31","19,92","17,22","16,14","417,00"
,"2,39",11/05/21 21:00,"5,78","1,87","19,83","17,30","16,09","417,00"
,"2,62",11/05/21 22:00,"5,69","2,27","19,84","17,46","16,08","417,00"
