,Timestamp,Power (W),temp,press,humid
0,2018-08-01,98808.99583333333,17.69999999999999,1008,50
1,2018-08-02,97220.54375000001,17.69999999999999,1008,50
2,2018-08-03,93552.77847222221,17.720000000000027,1008,50
3,2018-08-04,63763.21666666666,17.680000000000007,1008,50
4,2018-08-05,60577.71527777778,17.680000000000007,1008,50
5,2018-08-06,98751.87916666667,17.680000000000007,1008,50
6,2018-08-07,97529.45277777777,17.69999999999999,1008,50
7,2018-08-08,94583.0423611111,17.69999999999999,1008,50
8,2018-08-09,96152.11875,17.680000000000007,1008,50
9,2018-08-10,95829.45416666666,17.680000000000007,1008,50
10,2018-08-11,72410.96736111112,17.680000000000007,1008,50
11,2018-08-12,64116.114583333336,17.720000000000027,1008,50
12,2018-08-13,90684.73749999999,17.680000000000007,1008,50
13,2018-08-14,82613.24027777778,17.720000000000027,1008,50
14,2018-08-15,68060.47083333334,17.69999999999999,1008,50
15,2018-08-16,83093.90763888888,17.680000000000007,1008,50
16,2018-08-17,81998.01805555556,17.680000000000007,1008,50
17,2018-08-18,60807.068750000006,17.69999999999999,1008,50
18,2018-08-19,58273.666666666664,17.69999999999999,1008,50
19,2018-08-20,85607.42083333334,17.720000000000027,1008,50
20,2018-08-21,81409.65902777779,17.680000000000007,1008,50
21,2018-08-22,83120.36597222222,17.680000000000007,1008,50
22,2018-08-23,87180.20555555556,17.680000000000007,1008,50
23,2018-08-24,86466.52152777778,17.680000000000007,1008,50
24,2018-08-25,66123.98958333333,17.69999999999999,1008,50
25,2018-08-26,59605.830555555556,17.680000000000007,1008,50
26,2018-08-27,80981.19305555556,17.69999999999999,1008,50
27,2018-08-28,83043.63958333334,17.680000000000007,1008,50
28,2018-08-29,82274.22708333333,17.69999999999999,1008,50
29,2018-08-30,87582.08958333333,17.680000000000007,1008,50
30,2018-08-31,84540.04166666667,17.680000000000007,1008,50
31,2018-09-01,62103.288194444445,17.680000000000007,1008,50
32,2018-09-02,55364.45763888889,17.680000000000007,1008,50
33,2018-09-03,78478.66666666667,17.69999999999999,1008,50
34,2018-09-04,78724.17569444445,17.680000000000007,1008,50
35,2018-09-05,78638.17916666667,17.680000000000007,1008,50
36,2018-09-06,81017.57500000001,17.69999999999999,1008,50
37,2018-09-07,83477.27916666666,17.680000000000007,1008,50
38,2018-09-08,60834.785416666666,17.720000000000027,1008,50
39,2018-09-09,57724.46041666667,17.720000000000027,1008,50
40,2018-09-10,83429.49861111112,17.69999999999999,1008,50
41,2018-09-11,78725.07638888889,17.680000000000007,1008,50
42,2018-09-12,82745.92222222223,17.680000000000007,1008,50
43,2018-09-13,82784.40138888889,17.680000000000007,1008,50
44,2018-09-14,79138.225,17.720000000000027,1008,50
45,2018-09-15,61164.834722222215,17.680000000000007,1008,50
46,2018-09-16,56884.875,17.680000000000007,1008,50
47,2018-09-17,93820.69652777778,17.69999999999999,1008,50
48,2018-09-18,98753.00486111111,17.680000000000007,1008,50
49,2018-09-19,92192.65694444445,17.680000000000007,1008,50
50,2018-09-20,91391.2875,17.720000000000027,1008,50
51,2018-09-21,89663.27222222222,17.680000000000007,1008,50
52,2018-09-22,64563.114583333336,17.680000000000007,1008,50
53,2018-09-23,55984.28263888889,17.680000000000007,1008,50
54,2018-09-24,94456.58472222222,17.720000000000027,1008,50
55,2018-09-25,82864.27152777778,17.680000000000007,1008,50
56,2018-09-26,73214.64930555556,17.680000000000007,1008,50
57,2018-09-27,72603.89305555556,17.720000000000027,1008,50
58,2018-09-28,70795.8548611111,17.69999999999999,1008,50
59,2018-09-29,56630.12152777778,17.680000000000007,1008,50
60,2018-09-30,54428.35555555556,17.69999999999999,1008,50
61,2018-10-01,74919.69444444444,17.69999999999999,1008,50
62,2018-10-02,75111.02638888889,17.69999999999999,1008,50
63,2018-10-03,72370.7611111111,17.69999999999999,1008,50
64,2018-10-04,71953.25347222222,17.680000000000007,1008,50
65,2018-10-05,69905.48541666666,17.680000000000007,1008,50
66,2018-10-06,51067.03472222222,17.680000000000007,1008,50
67,2018-10-07,48918.083333333336,17.680000000000007,1008,50
68,2018-10-08,74232.39930555556,17.680000000000007,1008,50
69,2018-10-09,72241.57638888889,17.69999999999999,1008,50
70,2018-10-10,72118.83055555556,17.680000000000007,1008,50
71,2018-10-11,71445.67777777778,17.680000000000007,1008,50
72,2018-10-12,69905.65625,17.69999999999999,1008,50
73,2018-10-13,52209.412500000006,17.680000000000007,1008,50
74,2018-10-14,49088.24861111111,17.680000000000007,1008,50
75,2018-10-15,73508.14305555556,17.69999999999999,1008,50
76,2018-10-16,71913.2125,17.680000000000007,1008,50
77,2018-10-17,70528.54166666667,17.69999999999999,1008,50
78,2018-10-18,73771.82222222222,17.69999999999999,1008,50
79,2018-10-19,70316.69791666667,17.69999999999999,1008,50
80,2018-10-20,55045.83125,17.680000000000007,1008,50
81,2018-10-21,50817.82083333333,17.69999999999999,1008,50
82,2018-10-22,66977.11319444445,17.680000000000007,1008,50
83,2018-10-23,63846.06180555556,17.720000000000027,1008,50
84,2018-10-24,62307.90277777778,17.69999999999999,1008,50
85,2018-10-25,63595.598611111105,17.680000000000007,1008,50
86,2018-10-26,61376.410416666666,17.720000000000027,1008,50
87,2018-10-27,49934.12013888889,17.69999999999999,1008,50
88,2018-10-28,49888.927083333336,17.680000000000007,1008,50
89,2018-10-29,67214.56597222222,17.69999999999999,1008,50
90,2018-10-30,68850.43263888889,17.69999999999999,1008,50
91,2018-10-31,65432.40625,17.680000000000007,1008,50
92,2018-11-01,45105.26736111111,17.680000000000007,1008,50
